"","ORF","GENENAME"
"46","PF3D7_1404500","rRNA biogenesis protein RRP5, putative (RRP5)"
"47","PF3D7_1404600.1","adenylyl cyclase alpha (ACalpha)"
"48","PF3D7_1404700","conserved Plasmodium protein, unknown function"
"49","PF3D7_1404800","conserved Plasmodium protein, unknown function"
"50","PF3D7_1404900","conserved Plasmodium protein, unknown function"
"51","PF3D7_1405000","conserved Plasmodium protein, unknown function"
"52","PF3D7_1405100","GTPase-activating protein, putative"
"53","PF3D7_1405200","trafficking protein particle complex subunit 1, putative (BET5)"
"54","PF3D7_1405300","conserved Plasmodium protein, unknown function"
"55","PF3D7_1405400","DNA mismatch repair protein, putative"
"56","PF3D7_1405500","COBW domain-containing protein 1, putative (CBWD1)"
"57","PF3D7_1405600","ribonucleotide reductase small subunit (RNR)"
"58","PF3D7_1405700","RING zinc finger protein, putative"
"59","PF3D7_1405800","ribosome biogenesis protein BOP1, putative (BOP1)"
"60","PF3D7_1405900","RNA-binding protein, putative"
"61","PF3D7_1406000","RNA-binding protein, putative"
"62","PF3D7_1406100","conserved Plasmodium protein, unknown function"
"63","PF3D7_1406200","conserved Plasmodium protein, unknown function"
"64","PF3D7_1406300","glycerophosphodiester phosphodiesterase (GDPD)"
"65","PF3D7_1406400","PPR repeat protein (PPR)"
"66","PF3D7_1406500","WD repeat-containing protein 65, putative (WDR65)"
"67","PF3D7_1406600","ATP-dependent Clp protease, putative (ClpC)"
"68","PF3D7_1406700","vacuolar protein sorting-associated protein 29, putative (VPS29)"
"69","PF3D7_1406800","glideosome associated protein with multiple membrane spans 3 (GAPM3)"
"70","PF3D7_1406900","radical SAM protein, putative"
"71","PF3D7_1407000","LCCL domain-containing protein (CCp3)"
"72","PF3D7_1407100","rRNA 2'-O-methyltransferase fibrillarin, putative (NOP1)"
"73","PF3D7_1407200","conserved Plasmodium protein, unknown function"
"74","PF3D7_1407300","pre-mRNA-splicing factor 38B, putative (PRP38B)"
"75","PF3D7_1407400","conserved Plasmodium protein, unknown function"
"76","PF3D7_1407500","tRNA m2G10 methyltransferase subunit, putative"
"77","PF3D7_1407600","conserved Plasmodium protein, unknown function"
"78","PF3D7_1407700","conserved Plasmodium protein, unknown function"
"79","PF3D7_1407800","plasmepsin IV (PM4)"
"80","PF3D7_1407900","plasmepsin I (PMI)"
"81","PF3D7_1408000","plasmepsin II"
"82","PF3D7_1408100","plasmepsin III (HAP)"
"83","PF3D7_1408200","transcription factor with AP2 domain(s) (AP2-G2)"
"84","PF3D7_1408300","conserved Plasmodium protein, unknown function"
"85","PF3D7_1408400","DNA repair helicase, putative"
"86","PF3D7_1408500","conserved Plasmodium protein, unknown function"
"87","PF3D7_1408600","40S ribosomal protein S8e, putative"
"88","PF3D7_1408700","conserved Plasmodium protein, unknown function"
"89","PF3D7_1408800","conserved Plasmodium protein, unknown function"
"90","PF3D7_1408900","tRNA-dihydrouridine synthase, putative"
"91","PF3D7_1409000","WD repeat-containing protein, putative"
"92","PF3D7_1409100","aldo-keto reductase, putative"
"93","PF3D7_1409300","DNA damage-inducible protein 1, putative (DDI1)"
"94","PF3D7_1409400","conserved Plasmodium membrane protein, unknown function"
"95","PF3D7_1409500","conserved Plasmodium protein, unknown function"
"96","PF3D7_1409600","conserved Plasmodium protein, unknown function"
"97","PF3D7_1409700","conserved Plasmodium protein, unknown function"
"98","PF3D7_1409800","CUGBP Elav-like family member 2, putative (CELF2)"
"99","PF3D7_1409900","cytidine diphosphate-diacylglycerol synthase (CDS)"
"100","PF3D7_1410000","ER membrane protein complex subunit 2, putative (EMC2)"
"101","PF3D7_1410100","alpha/beta hydrolase, putative"
"102","PF3D7_1410200","cytidine triphosphate synthetase"
"103","PF3D7_1410300","WD repeat-containing protein, putative"
"104","PF3D7_1410400","rhoptry-associated protein 1 (RAP1)"
"105","PF3D7_1410500","conserved Plasmodium protein, unknown function"
"106","PF3D7_1410600","eukaryotic translation initiation factor 2 gamma subunit, putative"
"107","PF3D7_1410700","conserved Plasmodium protein, unknown function"
"108","PF3D7_1410800","ankyrin-repeat protein, putative"
"109","PF3D7_1410900","ribosome maturation protein SBDS, putative"
"110","PF3D7_1411100.1","conserved Plasmodium membrane protein, unknown function"
"111","PF3D7_1411200","rhomboid protease ROM8 (ROM8)"
"112","PF3D7_1411300","conserved Plasmodium protein, unknown function"
"113","PF3D7_1411400","plastid replication-repair enzyme (PREX)"
"114","PF3D7_1411500","conserved Plasmodium protein, unknown function"
"115","PF3D7_1411600","GTP-binding protein, putative"
"116","PF3D7_1411700","conserved protein, unknown function"
"117","PF3D7_1411800","conserved Plasmodium protein, unknown function"
"118","PF3D7_1411900","p1/s1 nuclease, putative"
"119","PF3D7_1412000","p1/s1 nuclease, putative"
"120","PF3D7_1412100","conserved Plasmodium protein, unknown function"
"121","PF3D7_1412200","conserved Plasmodium protein, unknown function"
"122","PF3D7_1412300","nuclear transport factor 2, putative (NTF2)"
"123","PF3D7_1412400","conserved Plasmodium protein, unknown function"
"124","PF3D7_1412500","actin II (ACT2)"
"125","PF3D7_1412600","deoxyhypusine synthase (DHS)"
"126","PF3D7_1412700","AAA family ATPase, putative"
"127","PF3D7_1412800","glycylpeptide N-tetradecanoyltransferase (NMT)"
"128","PF3D7_1412900.1","ubiquitin-conjugating enzyme, putative"
"129","PF3D7_1413000","conserved Plasmodium protein, unknown function"
"130","PF3D7_1413100","conserved Plasmodium protein, unknown function"
"131","PF3D7_1413200","conserved Plasmodium protein, unknown function"
"132","PF3D7_1413300","conserved Plasmodium protein, unknown function"
"133","PF3D7_1413400","30S ribosomal protein S9, putative"
"134","PF3D7_1413500","FeS assembly ATPase SufC (SufC)"
"135","PF3D7_1413600","conserved Plasmodium protein, unknown function"
"136","PF3D7_1413700","conserved Plasmodium protein, unknown function"
"137","PF3D7_1413800","diphthamide biosynthesis protein 1, putative (DPH1)"
"138","PF3D7_1413900","DnaJ protein, putative"
"139","PF3D7_1414000","26S proteasome regulatory subunit RPN13, putative (RPN13)"
"140","PF3D7_1414100","conserved Plasmodium protein, unknown function"
"141","PF3D7_1414200","conserved Plasmodium protein, unknown function"
"142","PF3D7_1414300","60S ribosomal protein L10, putative"
"143","PF3D7_1414400","serine/threonine protein phosphatase PP1 (PP1)"
"144","PF3D7_1414500","atypical protein kinase, ABC-1 family, putative (ABCk2)"
"145","PF3D7_1414600","RNA guanylyltransferase (Pgt1)"
"146","PF3D7_1414700","ubiquitin carboxyl-terminal hydrolase, putative"
"147","PF3D7_1414800","small nuclear ribonucleoprotein-associated protein B, putative (SMB1)"
"148","PF3D7_1414900","ATP-dependent protease, putative"
"149","PF3D7_1415000","uracil-DNA glycosylase (UDG)"
"150","PF3D7_1415100","conserved Plasmodium protein, unknown function"
"151","PF3D7_1415200","DNA-directed RNA polymerase I/III subunit, putative"
"152","PF3D7_1415300","RNA-binding protein Nova-1, putative"
"153","PF3D7_1415400","conserved Plasmodium protein, unknown function"
"154","PF3D7_1415500","conserved Plasmodium membrane protein, unknown function"
"155","PF3D7_1415600","conserved Plasmodium protein, unknown function"
"156","PF3D7_1415700","serine C-palmitoyltransferase, putative"
"157","PF3D7_1415800","dimethyladenosine transferase, putative"
"158","PF3D7_1415900","zinc finger protein, putative"
"159","PF3D7_1416000","conserved Plasmodium protein, unknown function"
"160","PF3D7_1416100","protein SEY1, putative (SEY1)"
"161","PF3D7_1416200","metacaspase-like protein (MCA3)"
"162","PF3D7_1416300","conserved protein, unknown function"
"163","PF3D7_1416400","conserved Plasmodium protein, unknown function"
"164","PF3D7_1416500","NADP-specific glutamate dehydrogenase (GDH1)"
"165","PF3D7_1416600","conserved Plasmodium protein, unknown function"
"166","PF3D7_1416700","conserved Plasmodium protein, unknown function"
"167","PF3D7_1416800","lysine--tRNA ligase, putative"
"168","PF3D7_1416900","prefoldin subunit 2, putative"
"169","PF3D7_1417000","inner membrane complex protein 1l, putative (IMC1l)"
"170","PF3D7_1417100","conserved Plasmodium protein, unknown function"
"171","PF3D7_1417200","NOT family protein, putative"
"172","PF3D7_1417300","cysteine protease ATG4, putative (ATG4)"
"173","PF3D7_1417400","rap guanine nucleotide exchange factor, putative, pseudogene (EPAC)"
"174","PF3D7_1417500","H/ACA ribonucleoprotein complex subunit 4, putative (CBF5)"
"175","PF3D7_1417600","conserved Plasmodium protein, unknown function"
"176","PF3D7_1417700","conserved Plasmodium protein, unknown function"
"177","PF3D7_1417800","DNA replication licensing factor MCM2 (MCM2)"
"178","PF3D7_1417900","conserved Plasmodium protein, unknown function"
"179","PF3D7_1418000","ubiquitin fusion degradation protein UFD1, putative (UFD1)"
"180","PF3D7_1418100","liver specific protein 1, putative (LISP1)"
"181","PF3D7_1418200","conserved Plasmodium protein, unknown function"
"182","PF3D7_1418300","calmodulin, putative"
"183","PF3D7_1418400","tRNA Proline"
"184","PF3D7_1418500","5S ribosomal RNA"
"185","PF3D7_1418600","5S ribosomal RNA"
"186","PF3D7_1418700","5S ribosomal RNA"
"187","PF3D7_1418800","signal recognition particle RNA"
"188","PF3D7_1418900","DEAD/DEAH box ATP-dependent RNA helicase, putative"
"189","PF3D7_1419000","conserved Plasmodium protein, unknown function"
"190","PF3D7_1419100","ATP-dependent RNA helicase, putative"
"191","PF3D7_1419200","thioredoxin-like protein, putative"
"192","PF3D7_1419300","glutathione S-transferase (GST)"
"193","PF3D7_1419400","conserved Plasmodium membrane protein, unknown function"
"194","PF3D7_1419500","conserved Plasmodium protein, unknown function"
"195","PF3D7_1419600","conserved Plasmodium protein, unknown function"
"196","PF3D7_1419700","conserved Plasmodium protein, unknown function"
"197","PF3D7_1419800.2","glutathione reductase (GR)"
"198","PF3D7_1419900","YTH domain-containing protein, putative"
"199","PF3D7_1420000","splicing factor 3B subunit 4, putative (SF3B4)"
"200","PF3D7_1420100","conserved Plasmodium protein, unknown function"
"201","PF3D7_1420200","tetratricopeptide repeat family protein, putative"
"202","PF3D7_1420300","zinc finger protein, putative"
"203","PF3D7_1420400","glycine--tRNA ligase (GlyRS)"
"204","PF3D7_1420500","conserved Plasmodium membrane protein, unknown function"
"205","PF3D7_1420600","pantothenate kinase, putative (PANK)"
"206","PF3D7_1420700","surface protein P113 (P113)"
"207","PF3D7_1420800","dynein-associated protein, putative"
"208","PF3D7_1420900","mannose-1-phosphate guanyltransferase, putative"
"209","PF3D7_1421000","conserved Plasmodium protein, unknown function"
"210","PF3D7_1421100","conserved Plasmodium protein, unknown function"
"211","PF3D7_1421150","C/D small nucleolar RNA"
"212","PF3D7_1421200","40S ribosomal protein S25 (RPS25)"
"213","PF3D7_1421300","conserved Plasmodium protein, unknown function"
"214","PF3D7_1421400","DNA-directed RNA polymerase III subunit C, putative"
"215","PF3D7_1421500","mitochondrial import inner membrane translocase subunit TIM8, putative (TIM8)"
"216","PF3D7_1421600","conserved Plasmodium protein, unknown function"
"217","PF3D7_1421700","unspecified product"
"218","PF3D7_1421800","conserved Plasmodium protein, unknown function"
"219","PF3D7_1421900","copper transporter, putative"
"220","PF3D7_1422000","conserved Plasmodium protein, unknown function"
"221","PF3D7_1422100","mitochondrial ribosomal protein L21 precursor, putative"
"222","PF3D7_1422200","conserved Plasmodium protein, unknown function"
"223","PF3D7_1422300","DnaJ protein, putative"
"224","PF3D7_1422400","conserved Plasmodium protein, unknown function"
"225","PF3D7_1422500","ERAD-associated E3 ubiquitin-protein ligase HRD1 (HRD1)"
"226","PF3D7_1422600","conserved Plasmodium protein, unknown function"
"227","PF3D7_1422700","conserved Plasmodium protein, unknown function"
"228","PF3D7_1422800","actin-related protein, putative (ARP4a)"
"229","PF3D7_1422900","14-3-3 protein, putative"
"230","PF3D7_1423000","nucleolar GTP-binding protein 2, putative (NOG2)"
"231","PF3D7_1423100","ankyrin, putative"
"232","PF3D7_1423200","peptidyl-prolyl cis-trans isomerase (CYP52)"
"233","PF3D7_1423300","serine/threonine protein phosphatase 7 (PP7)"
"234","PF3D7_1423400","conserved Plasmodium membrane protein, unknown function"
"235","PF3D7_1423500","conserved Plasmodium protein, unknown function"
"236","PF3D7_1423600","calcium-dependent protein kinase, putative"
"237","PF3D7_1423700","conserved Plasmodium protein, unknown function"
"238","PF3D7_1423800","vacuolar protein sorting-associated protein 3, putative (VPS3)"
"239","PF3D7_1423900","small nucleolar RNA snoR23"
"240","PF3D7_1424000","small nucleolar RNA snoR24"
"241","PF3D7_1424100","60S ribosomal protein L5, putative"
"242","PF3D7_1424200","small nucleolar RNA snoR25"
"243","PF3D7_1424300","small nucleolar RNA snoR26"
"244","PF3D7_1424400","60S ribosomal protein L7-3, putative"
"245","PF3D7_1424500","small nucleolar RNA snoR27"
"246","PF3D7_1424600","small nucleolar RNA snoR28"
"247","PF3D7_1424700","small nucleolar RNA snoR29"
"248","PF3D7_1424800","unspecified product"
"249","PF3D7_1424900","small nucleolar RNA snoR30"
"250","PF3D7_1425000","Plasmodium RNA of unknown function RUF4"
"251","PF3D7_1425100","small nucleolar RNA snoR31"
"252","PF3D7_1425200","enoyl-CoA hydratase, putative"
"253","PF3D7_1425300","conserved Plasmodium protein, unknown function"
"254","PF3D7_1425400","DEAD/DEAH box helicase, putative"
"255","PF3D7_1425500","conserved Plasmodium protein, unknown function"
"256","PF3D7_1425600","zinc finger protein, putative"
"257","PF3D7_1425700","conserved Plasmodium protein, unknown function"
"258","PF3D7_1425800","conserved Plasmodium protein, unknown function"
"259","PF3D7_1425900","conserved Plasmodium protein, unknown function"
"260","PF3D7_1426000","60S ribosomal protein L21 (RPL21)"
"261","PF3D7_1426100","basic transcription factor 3b, putative"
"262","PF3D7_1426200","protein arginine N-methyltransferase 1 (PRMT1)"
"263","PF3D7_1426300","dynein-associated protein, putative"
"264","PF3D7_1426400","MORN repeat protein, putative"
"265","PF3D7_1426500","ABC transporter G family member 2 (ABCG2)"
"266","PF3D7_1426600","conserved Plasmodium protein, unknown function"
"267","PF3D7_1426700","phosphoenolpyruvate carboxylase (PEPC)"
"268","PF3D7_1426800","conserved Plasmodium protein, unknown function"
"269","PF3D7_1426900","ubiquinol-cytochrome c reductase hinge protein, putative"
"270","PF3D7_1427000","conserved Plasmodium protein, unknown function"
"271","PF3D7_1427100","lipase, putative"
"272","PF3D7_1427200","selenoprotein (Sel4)"
"273","PF3D7_1427300","conserved Plasmodium protein, unknown function"
"274","PF3D7_1427500","DNA mismatch repair protein MSH2, putative (MSH2-1)"
"275","PF3D7_1427600","CorA-like Mg2+ transporter protein, putative"
"276","PF3D7_1427700","conserved Plasmodium protein, unknown function"
"277","PF3D7_1427800","exosome complex exonuclease RRP41, putative (RRP41)"
"278","PF3D7_1427900","conserved protein, unknown function"
"279","PF3D7_1428000","conserved Plasmodium membrane protein, unknown function"
"280","PF3D7_1428100","WW domain-binding protein 11, putative"
"281","PF3D7_1428200","metabolite/drug transporter, putative"
"282","PF3D7_1428300","proliferation-associated protein 2g4, putative"
"283","PF3D7_1428400","WD and tetratricopeptide repeats protein 1, putative (WDTC1)"
"284","PF3D7_1428500","protein kinase, putative"
"285","PF3D7_1428600","peptide chain release factor 1, putative"
"286","PF3D7_1428700","conserved protein, unknown function"
"287","PF3D7_1428900","conserved Plasmodium protein, unknown function"
"288","PF3D7_1429000","protein archease, putative"
"289","PF3D7_1429100","apicoplast ribosomal protein L15 precursor, putative"
"290","PF3D7_1429200","transcription factor with AP2 domain(s), putative (ApiAP2)"
"291","PF3D7_1429300","CPW-WPC family protein"
"292","PF3D7_1429400","rRNA (adenosine-2'-O-)-methyltransferase, putative"
"293","PF3D7_1429500","diphthamide biosynthesis protein 2, putative (DPH2)"
"294","PF3D7_1429600","conserved Plasmodium protein, unknown function (GEXP03)"
"295","PF3D7_1429700","mitochondrial ribosomal protein L15 precursor, putative"
"296","PF3D7_1429800","coatamer beta subunit, putative"
"297","PF3D7_1429900","ADP-dependent DNA helicase RecQ (WRN)"
"298","PF3D7_1430000","conserved Plasmodium protein, unknown function"
"299","PF3D7_1430100","serine/threonine protein phosphatase 2A activator (PTPA)"
"300","PF3D7_1430200","plasmepsin IX"
"301","PF3D7_1430300","acid phosphatase, putative"
"302","PF3D7_1430400","autophagy protein 5, putative (ATG5)"
"303","PF3D7_1430500","conserved Plasmodium protein, unknown function"
"304","PF3D7_1430600","exodeoxyribonuclease III, putative"
"305","PF3D7_1430700","NADP-specific glutamate dehydrogenase (GDH2)"
"306","PF3D7_1430800","conserved Plasmodium protein, unknown function"
"307","PF3D7_1430900","cytochrome c oxidase subunit 2, putative"
"308","PF3D7_1431000","mitochondrial ribosomal protein L17-2 precursor, putative"
"309","PF3D7_1431100","conserved Plasmodium protein, unknown function"
"310","PF3D7_1431200","conserved Plasmodium protein, unknown function"
"311","PF3D7_1431300","large ribosomal subunit associated GTPase, putative"
"312","PF3D7_1431400","conserved Plasmodium protein, unknown function"
"313","PF3D7_1431500","mitogen-activated protein kinase 1 (MAPK1)"
"314","PF3D7_1431600","ATP-specific succinyl-CoA synthetase beta subunit, putative"
"315","PF3D7_1431700","60S ribosomal protein L14, putative"
"316","PF3D7_1431800","apyrase, putative"
"317","PF3D7_1431900","inner membrane complex suture component, putative (ISC3)"
"318","PF3D7_1432000","syntaxin, Qa-SNARE family (SYN11)"
"319","PF3D7_1432100","voltage-dependent anion-selective channel protein, putative"
"320","PF3D7_1432200","conserved Plasmodium protein, unknown function"
"321","PF3D7_1432300","conserved Plasmodium protein, unknown function"
"322","PF3D7_1432400","leucine-rich repeat protein (LRR5)"
"323","PF3D7_1432500","RNA methyltransferase, putative"
"324","PF3D7_1432600","conserved Plasmodium protein, unknown function"
"325","PF3D7_1432700","protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative"
"326","PF3D7_1432800","conserved Plasmodium protein, unknown function"
"327","PF3D7_1432900","SF-assemblin, putative"
"328","PF3D7_1433000","H/ACA ribonucleoprotein complex subunit 3, putative (NOP10)"
"329","PF3D7_1433100","conserved Plasmodium membrane protein, unknown function"
"330","PF3D7_1433200","conserved Plasmodium protein, unknown function"
"331","PF3D7_1433300","chromatin assembly factor 1 P55 subunit, putative"
"332","PF3D7_1433400","conserved Plasmodium membrane protein, unknown function"
"333","PF3D7_1433500","DNA topoisomerase 2 (TOP2)"
"334","PF3D7_1433600","microsomal signal peptidase protein, putative (SPC1)"
"335","PF3D7_1433700","conserved Plasmodium protein, unknown function"
"336","PF3D7_1433800","conserved Plasmodium protein, unknown function"
"337","PF3D7_1433900","protein kinase, putative"
"338","PF3D7_1434000","CCR4-associated factor 16, putative (CAF16)"
"339","PF3D7_1434100","queuine tRNA-ribosyltransferase, putative"
"340","PF3D7_1434200","calmodulin (CAM)"
"341","PF3D7_1434300","Hsp70/Hsp90 organizing protein (HOP)"
"342","PF3D7_1434400","conserved Plasmodium membrane protein, unknown function"
"343","PF3D7_1434500","dynein-related AAA-type ATPase, putative"
"344","PF3D7_1434600","methionine aminopeptidase 2 (METAP2)"
"345","PF3D7_1434700","mitochondrial import inner membrane translocase subunit TIM17, putative (TIM17)"
"346","PF3D7_1434800","mitochondrial acidic protein MAM33, putative"
"347","PF3D7_1434900","conserved Plasmodium protein, unknown function"
"348","PF3D7_1435000","cytochrome c oxidase assembly protein, putative"
"349","PF3D7_1435100","ribonuclease H2 subunit B, putative"
"350","PF3D7_1435200","conserved Plasmodium protein, unknown function"
"351","PF3D7_1435300","NAD(P)H-dependent glutamate synthase, putative"
"352","PF3D7_1435400","ER membrane protein complex subunit 4, putative (EMC4)"
"353","PF3D7_1435500","conserved Plasmodium protein, unknown function"
"354","PF3D7_1435600","conserved Plasmodium protein, unknown function"
"355","PF3D7_1435700.1","ataxin-2 like protein, putative"
"356","PF3D7_1435800","GTPase Era, putative (ERA)"
"357","PF3D7_1435900","conserved Plasmodium protein, unknown function"
"358","PF3D7_1436000","glucose-6-phosphate isomerase (GPI)"
"359","PF3D7_1436100","conserved Plasmodium membrane protein, unknown function"
"360","PF3D7_1436200","conserved Plasmodium protein, unknown function"
"361","PF3D7_1436300","translocon component PTEX150 (PTEX150)"
"362","PF3D7_1436400","conserved Plasmodium protein, unknown function"
"363","PF3D7_1436500","GTP-binding protein, putative"
"364","PF3D7_1436600","cGMP-dependent protein kinase (PKG)"
"365","PF3D7_1436700","conserved Plasmodium protein, unknown function"
"366","PF3D7_1436800","ATP-dependent Clp protease proteolytic subunit (ClpR)"
"367","PF3D7_1436900","histidine triad protein, putative"
"368","PF3D7_1437000","N-acetyltransferase, putative"
"369","PF3D7_1437100","conserved Plasmodium protein, unknown function"
"370","PF3D7_1437200","ribonucleoside-diphosphate reductase, large subunit, putative"
"371","PF3D7_1437300","conserved Plasmodium protein, unknown function"
"372","PF3D7_1437400","pantothenate kinase, putative"
"373","PF3D7_1437500","conserved Plasmodium membrane protein, unknown function"
"374","PF3D7_1437600","conserved Plasmodium protein, unknown function"
"375","PF3D7_1437700","succinyl-CoA ligase, putative"
"376","PF3D7_1437800","trafficking protein particle complex subunit 5, putative (TRAPPC5)"
"377","PF3D7_1437900","HSP40, subfamily A, putative (ERdj3)"
"378","PF3D7_1438000","eukaryotic translation initiation factor eIF2A, putative"
"379","PF3D7_1438100","secretory complex protein 62 (SEC62)"
"380","PF3D7_1438200","tRNA Selenocysteine"
"381","PF3D7_1438300","tRNA Methionine"
"382","PF3D7_1438400","metacaspase-like protein (MCA2)"
"383","PF3D7_1438500","cleavage and polyadenylation specificity factor, putative"
"384","PF3D7_1438600","conserved protein, unknown function"
"385","PF3D7_1438700","DNA primase small subunit"
"386","PF3D7_1438800","conserved Plasmodium protein, unknown function"
"387","PF3D7_1438900","thioredoxin peroxidase 1 (Trx-Px1)"
"388","PF3D7_1439000","copper transporter"
"389","PF3D7_1439100","DEAD/DEAH box helicase, putative"
"390","PF3D7_1439200","conserved Plasmodium protein, unknown function"
"391","PF3D7_1439300","conserved Plasmodium protein, unknown function"
"392","PF3D7_1439400","ubiquinol-cytochrome c reductase iron-sulfur subunit, putative"
"393","PF3D7_1439500","CCAAT-binding transcription factor, putative"
"394","PF3D7_1439600","conserved Plasmodium protein, unknown function"
"395","PF3D7_1439700","leucine carboxyl methyltransferase, putative"
"396","PF3D7_1439800","vesicle-associated membrane protein, putative"
"397","PF3D7_1439900","triosephosphate isomerase (TIM)"
"398","PF3D7_1440000","conserved Plasmodium protein, unknown function"
"399","PF3D7_1440100","conserved Plasmodium protein, unknown function"
"400","PF3D7_1440300","delta-aminolevulinic acid dehydratase (PBGS)"
"401","PF3D7_1440200","stromal-processing peptidase, putative (SPP)"
"402","PF3D7_1440400","conserved Plasmodium protein, unknown function"
"403","PF3D7_1440500","allantoicase, putative"
"404","PF3D7_1440600","conserved Plasmodium protein, unknown function"
"405","PF3D7_1440700","adaptor complexes medium subunit family"
"406","PF3D7_1440800","major facilitator superfamily, putative"
"407","PF3D7_1440900","conserved Plasmodium protein, unknown function"
"408","PF3D7_1441000","conserved Plasmodium protein, unknown function"
"409","PF3D7_1441100","conserved Plasmodium protein, unknown function"
"410","PF3D7_1441200","60S ribosomal protein L1, putative"
"411","PF3D7_1441300","serine/threonine protein kinase, putative"
"412","PF3D7_1441400","FACT complex subunit SSRP1, putative (FACT-S)"
"413","PF3D7_1441500","conserved Plasmodium protein, unknown function"
"414","PF3D7_1441600","acid cluster protein 33 homologue, putative"
"415","PF3D7_1441700","metalloprotease, putative"
"416","PF3D7_1441800","vacuolar-sorting protein SNF7, putative"
"417","PF3D7_1441900","RNA polymerase II transcription factor B subunit 5, putative (TFB5)"
"418","PF3D7_1442000","ADP-ribosylation factor, putative"
"419","PF3D7_1442100","replication factor A protein 3, putative (RPA3)"
"420","PF3D7_1442200","GTP-binding protein, putative"
"421","PF3D7_1442300","tRNA binding protein, putative"
"422","PF3D7_1442400","conserved Plasmodium protein, unknown function"
"423","PF3D7_1442500","protein prenyltransferase alpha subunit, putative"
"424","PF3D7_1442600","TRAP-like protein (TREP)"
"425","PF3D7_1442700","conserved Plasmodium protein, unknown function"
"426","PF3D7_1442800","conserved Plasmodium protein, unknown function"
"427","PF3D7_1442900","protein transport protein SEC7, putative (SEC7)"
"428","PF3D7_1443000","serine/threonine protein kinase (SRPK2)"
"429","PF3D7_1443100","conserved Plasmodium protein, unknown function"
"430","PF3D7_1443200","conserved Plasmodium protein, unknown function"
"431","PF3D7_1443300","U6 snRNA-associated Sm-like protein LSm5, putative (LSM5)"
"432","PF3D7_1443400","WD repeat-containing protein, putative"
"433","PF3D7_1443500","poly(A)-specific ribonuclease PARN, putative (PARN)"
"434","PF3D7_1443600","conserved Plasmodium protein, unknown function"
"435","PF3D7_1443700","dephospho-CoA kinase, putative (DPCK)"
"436","PF3D7_1443800","zinc finger protein, putative"
"437","PF3D7_1443900","heat shock protein 90, putative (HSP90)"
"438","PF3D7_1444000","conserved Plasmodium protein, unknown function"
"439","PF3D7_1444100","conserved Plasmodium protein, unknown function"
"440","PF3D7_1444200","calmodulin-like protein"
"441","PF3D7_1444300","1-acyl-sn-glycerol-3-phosphate acyltransferase, putative (LPAAT)"
